question,answer,intent
Most Common extranodal site of Lymphoma in 14W is?,CNS,general_faq
Galactorrheamy be associated with the use of all the following drugs except -,Methyldopa,medicine_info
Which of the following is true about shunt vessels?,Evenly distributed throughout the skin,general_faq
Which of the following is the most appropriate treatment for panic disorder?,Buspirone plus benzodiazepines,nutrition_advice
Caput succedaneum in a newborn is: Karnataka 07,Collection of blood under the pericranium,general_faq
Gp2b3A inhibitors are all except -,Abciximab,general_faq
Hypopigmented patches can be seen in :,Becker naevus,general_faq
Receptor for HIV?,CD4,general_faq
Erythema multiforme Is most often related to,Herpes zoster infection,general_faq
Which of the following medications is contraindicated in the treatment of an acute attack of gout?,Allopurinol,medicine_info
The following drugs can be used for the management of status asthmaticus EXCEPT: September 2012,Magnesium sulphate,medicine_info
True regarding colovesical fistula,Most commonly presents with pneumaturia,general_faq
"All of the following bases are present in DNA, EXCEPT:",Adenine,general_faq
"All are features of adipocere, except: MAHE 11; PGI 13",It consists of fatty acids,nutrition_advice
True statement about Korsakoff's psychosis is -,Severe antegrade + Mild retrograde memory defect,general_faq
Equatorial diameter of the lens is,7mm,general_faq
Random is Randomization Implies,Unequal and known chances,general_faq
EEG rhythm recorded from the surface of the scalp during REM sleepa) Alphab) Betac) Deltad) Theta,ab,general_faq
Following are tests to confirm blood stains except,Phenolphthalein test,general_faq
Stereognosis will be lost in the lesion of:,Fasciculus gracilis,general_faq
"About the treatment of esophageal cancer, false statement is:",5% of patients survive 5 years after the diagnosis,nutrition_advice
Recptors for vibration sense-,Merkel's disc,general_faq
Most common nosocomial infection is,Respiratory tract infection,general_faq
Treatment of C. difficile infection,Metronidazole,nutrition_advice
Fracture of necessity is used to describe -,Cottons fracture,general_faq
"A laboratory technician was accidentally exposed to a HIV serum positive sample, which of the following shall be the role of zidovudine in treatment of this patient ?",Protects against acquiring the HIV infection,nutrition_advice
In spinal anaesthesia the drug is deposited between :,Dura and arachnoid,medicine_info
Triad of biotin deficiency is,"Dermatitis, glossitis, Steatorrhea",general_faq
Gingival enlargement with leathery consistency with characteristic minutely pebbled surface is seen in,Idiopathic gingival enlargement,nutrition_advice
Which of the following has no Tm value ?,"Albumin, arginine",general_faq
"A 58 year old male presents with fatigue, abdominal pain and bloody stools. Colonoscopy reveals a mass in the descending colon. For surgical removal of the mass, ligation of which of the following arteries is required?",Superior mesenteric artery,symptoms_diagnosis
Risk factor for melanoma are all of the following EXCEPT: March 2013,Exposure to UV radiation,general_faq
"In which of the following poisoning, pralidoxime is ineffective?",Organophosphorus,general_faq
The following diagram depicts blood smear of which species?,P. vivax,general_faq
Which of the following anticancer drug can cause flagellated dermatitis?,Cisplatin,medicine_info
Confirmatory test for syphilis is-rpt qun,FTA-ABS,general_faq
Which of the following is used in exocytosis?,Ca,general_faq
Testing for microdeletion of Y-chromosome is offered for which patient with a normal Karyotype,Sperm concentration of 2 million/ml,general_faq
Middle part of jugular foramen transmits all of the following cranial nerves except:,Glossopharyngeal nerve,general_faq
Farber&;s disease is due to the deficiency of,Ceraminidase,general_faq
Linitis plastica is a type of :,Gastric ulcer,general_faq
The Schilling test is performed to determine the cause of -,Lactose malabsorption,general_faq
A pulmonary disorder causes the alveoli to break down and coalesce into large air spaces. The lungs also lose elasticity and compliance is increased. A person who suffers from this disease will have,Increased dead air space,general_faq
Which one of the following device conves radioactive emissions to light for detection?,Geiger counter,general_faq
Rice watery stool is indicative of which organism-,Vibrio cholerae Ol,general_faq
"Generally, radiotherapy should not be used for treating benign conditions. The only possible exception being:",Chondromyxoid fibroma,nutrition_advice
"All muscles of the pharynx are supplied by pharyngeal plexus, EXCEPT?",Inferior constrictors,general_faq
BRCA-1 postive women have ____% increased risk of breast carcinoma,10,general_faq
A woman assaulted by neighbor was brought to you in the emergency depament with fracture of middle tooth. Injury was extended medially to the mouth and there was also contusion to bilateral leg. What is the nature of the injury,Grievous injury,general_faq
Following may be seen in the exit wound: DNB 10; NEET 14,Di collar,general_faq
All of the following statements are true regarding sumatriptan except,It has 99% oral bioavailability,general_faq
All the following are seen in Hyperparathyroidism except,Subperiosteal erosion of bone,general_faq
"A 22-year-old primigravida at 11 weeks of gestational age has a blood pressure reading of 150/100 mm Hg obtained during a routine visit. . The patient denies any headache, visual changes, nausea, vomiting, or abdominal pain. Her repeat BP is 160/90 mm Hg, and urinalysis is negative for protein. Which of the following is the most likely diagnosis?",Preeclampsia,nutrition_advice
Y-chromosome is:,Telocentric,general_faq
A 50 year old man presents with paresthesia. Hb = 6.8 gms/dl. Peripheral smear shows macrocytes and neutrophis with hypersegmented nuclei. Endoscopy reveals atroghic gastritis. Which of the following deficiency is more likely?,Fotate deficiency,general_faq
Mallory weiss syndrome common in,Chronic alcoholic patients,general_faq
"All of the following statements about inhaled
tooth fragment are true EXCEPT",It usually enters the right bronchus,general_faq
True about rash of chickenpox,Centripetal,general_faq
Smoke stake pattern is characteristic of?,Sickle cell retinopathy,general_faq
Iodine uptake is seen in the following organs,Ovary,general_faq
All are true about ketone bodies except,Acetoacetate is primary ketone body,general_faq
"A patient is to undergo angiography for unstable angina. His routine evaluation revealed his serum creatinine to be elevated. All of the following can be used to prevent contrast nephropathy, EXCEPT:",Haemofiltration,nutrition_advice
Newer Influenza vaccine-,Split - virus vaccine,general_faq
Which of the following does not supply the palate-,Tonsilar branch of facial artery,general_faq
Which of the following is not true of caloric test?,Induction of nystagmus by thermal stimulation,general_faq
"All are true about estrogen, EXCEPT:",Causes cholestasis,general_faq
2-year-old child presents with sho stature and cafe-au lait spots. Bone marrow aspiration yields a little material and mostly containing fat. What is your diagnosis:,Fanconi anemia,general_faq
Geographic lytic lesions in the vault of the skull with bevelled edges are seen with:,Eosinophilic granuloma,general_faq
Most common site of hypospadias:,Proximal to Glans,general_faq
Second primary malignancy of head and neck is commonly associated with which of the following,Oral cavity,general_faq
"""Antihistone"" antibodies are detectable in:",CREST,general_faq
A plant prick can produce sporotrichosis. All are true statements about sporotrichosis except,"Is a chronic mycotic disease that typically involves skin, subcutaneous tissue and regional lymphatics",general_faq
CVEK pulpotomy is not known by the name:,Partial pulpotomy.,general_faq
Which of the following is the investigation of choice in a pregnant lady at 18 weeks of pregnancy with past history of delivering a baby with Down's syndrome :,Triple screen test,general_faq
"The industry, with the highest accidental death rate and long held to be the most dangerous occupation is –",Agriculture,nutrition_advice
In a normal healthy person the arterial oxygen is considered satisfactory if SPO2 is more than,80,general_faq
Safest method of contraception in sickle cell anaemia:,Oral 'Pill',general_faq
Which of the following is the causative organism for formation of Baholin cyst?,Candida,general_faq
A 2 month old child has a respiratory rate of 45/ minute. He is not accepting feeds from last 4 days and shows sign of dehydration. Which type of pneumonia is this: March 2013 (c),No pneumonia,general_faq
Maximum tourniquet time for the upper limb is ?,1/2 hour,general_faq
Boorheave syndrome involves perforation of esophagus after,Burns,general_faq
A 6 year old girl is easily distracted in class and exhibits poor scholastic performance. Seizures are precipitated by hyperventilation. What is the probable diagnosis?,Myoclonic seizures,general_faq
"A 57-year-old man presents with hemoptysis and generalized weakness. His symptoms began with small-volume hemoptysis 4 weeks ago. Over the past 2 weeks, he has become weak and feels ""out of it."" His appetite has diminished, and he has lost 10 lb of weight. He has a 45-pack-year history of cigarette smoking. Physical examination is unremarkable. Laboratory studies reveal a mild anemia and a serum sodium value of 118 mEq/L. Chest x-ray shows a 5-cm left, mid-lung field mass with widening of the mediastinum suggesting mediastinal lymphadenopathy. MR scan of the brain is unremarkable. What is the most likely cause of his symptoms?",Bronchial carcinoid,symptoms_diagnosis
Durck granuloma is seen in,Congenital syphilis,general_faq
Most common metabolite of progesterone excreted in urine is _________,Pregnanelone,general_faq
Indication for intramuscular iron therapy is,Oral desforaxamine,treatment_procedure
Best gas used for creating pneumoperitonium at laparoscopy is :,N2,nutrition_advice
Man is intermediate host for -,Malaria,general_faq
Which appendix pain is referred to suprapubic region?,Preileal,symptoms_diagnosis
An eight years old child is suffering from transient synovitis of the hip joint. Which of the following statement is false,May follow upper respiratory tract infection,general_faq
Decreased number of melanocytes are seen in: March 2005,Pebaldism,general_faq
Inferior angle of scapula is at the level of?,T4,general_faq
In this child Which of the following enzymes is likely to be deficient?,HGPRTase,general_faq
Which of the following is not an action of epinephrine when administered intravenously in a high dose?,Increases liver glycogenolysis,medicine_info
The main function of Vitamin C in the body is -,Coenzyme for energy metabolism,nutrition_advice
Which of the following is not seen in pseudogout,Small joints affected,general_faq
"A 19 year old female presents with pain in the neck for 5 days. She is not able to wear tie for her job because of neck pain. H/O fatigue and lethargy for 10 days. She had flu like symptoms 20 days ago which resolved spontaneously. BP 110/80 mmHg, Pulse 48/min. Extremities are cold and dry. Neck is very tender. ECG normal. TSH is elevated. ESR 30 mm/hr. Next appropriate step",Atropine injection,symptoms_diagnosis
A 40-year-old patient is suffering from carotid body tumor. Which of the following is the best treatment for him?,Excision of tumor,nutrition_advice
The radiopaque structure shown in the box is most likely:,Lingual foramen,general_faq
Linoleic acid is maximum in,Groundnut oil,general_faq
The commonest clinical pattern of basal cell carcinoma is -,Nodular,general_faq
Normal intracranial pressure in a child is:,< 5mm of Hg,general_faq
"A 35-year-old man developed headache, nausea, vomiting, and sore throat 8 weeks after returning from a trip abroad. He eventually refused to drink water and had episodes of profuse salivation, difficulty in breathing, and hallucinations. Two days after the patient died of cardiac arrest, it was learned that he had been bitten by a dog while on his trip. Which of the following treatments, if given immediately after the dog bite, could have helped prevent this disease?",Broad-spectrum antibiotics,nutrition_advice
"Which of the following statements are True/False? 1. Hirsutism, which is defined as androgen-dependent excessive male pattern hair growth, affects approximately 25% of women. 2. Virilization refers to a condition in which androgen levels are sufficiently high to cause additional signs and symptoms. 3. Frequently, patients with growth hormone excess (i.e., acromegaly) present with hirsutism. 4. A simple and commonly used method to grade hair growth is the modified scale of Ferriman and Gallwey. 5. Scores above 8 suggest excess androgen-mediated hair growth.","1, 2, 3 True & 4, 5 false",symptoms_diagnosis
First change of improvement noted after iron therapy is initiated,Decreased irritability,treatment_procedure
The main cause of minimal change ds is,Increase in pore size,general_faq
Water is used for hardening in -,Sodalime,general_faq
All of the following benzodiazepines can be used in the elderly and those with liver disease EXCEPT:,Lorazepam,general_faq
Most dangerous paicles causing pneumoconiosis are of size,A. 1-5 micron,general_faq
Chvostek’s sign is elicited by,BP cuff in arm for 5 minutes,general_faq
Patient presents with varicose vein with sapheno-femoral incompetence and normal perforator. Management options include all of the following except,Endovascular stripping,general_faq
Scrum pox is seen among ………………… players -,Football,general_faq
"A 26 years old primigravida at 30 weeks of gestation on clinical examination, has blood pressure values of 142/100 mm Hg. 150/94 mmHg and 150/100 at 6 hours intervals. The next line of management is:",Add captopril,general_faq
Sensitivity means the ability to detect -,True negative,general_faq
A six year old male baby presents to a hospital with recurrent gross hematuria for 2 years. There is no h/o burning micturition or pyuria. Urine routine examination demonstrated no pus cells and urine culture was sterile. Serum C3 levels were normal. What is the most probable diagnosis-,Wilm's tumour,general_faq
The following structures are felt on per rectal examination except,Bulb of penis,general_faq
Opsomyoclonus is encountered as C/F of-,Meningioma,general_faq
Most sensitive and specific test for diagnosis of iron deficiency is -,Serum iron levels,general_faq
A 6-week pregnant lady is diagnosed with sputum positive TB. Best management is -,Wait for 2nd trimester to start ATT,symptoms_diagnosis
Spouse jealousy is a feature of -,Othello syndrome,nutrition_advice
Features of shock,Decreased GFR,nutrition_advice
"A 45-year old male presented with severe respiratory distress. O/E he had pedal edema, bilateral crepitation on auscultation. He was admitted to emergency department and expired 2 days of admission. Lung biopsy done suggested the following. What is your diagnosis?",CMV pneumonitis,general_faq
Afferents to basal ganglia rests in,Striatum,general_faq
Datura seeds resemble -,Ricinus communis,general_faq
The clinical consequences of hypokalemia in skeletal muscle include muscle weakness and cramps. What is the level of Serum Potassium at which Paralysis Is a possible complication of hypokalemia?,Serum Potassium at 2.0 mEq/L,general_faq
Skin scrapings from a patient with tinea corporis were taken and cultured on SDA. Figure shows the LCB mount. Likely identity of the causative dermatophyte is-,Epidermophyton floccosum,general_faq
All are immediate causes of death in burns except,Injury,nutrition_advice
Which of the following is a manifestation of magnesium deficiency?,Tetany,general_faq
Cause of U/L secretory otitis media in an adult is -,CSOM,general_faq
Punishment for infanticide comes under -,IPC102,general_faq
Drug of choice for pneumocystis carinii ?,Cotrimoxazole,medicine_info
True about hiatus hernia,Surgery indicated in all symptomatic cases of paraesophageal,general_faq
Confirmatory test for syphilis -,VDRL,general_faq
Mammalian Mitochondria are involved in all of the following Except,Fatty acid synthesis,general_faq
"In depression, there is deficiency of :",5–HT,general_faq
Which of the following is a content of bicipital groove?,Synol membrane of shoulder joint,general_faq
"Deltoid ligament is attached to all, Except:",Medial malleolus,general_faq
Resting membrane potential of nerve is equal to equilibrium potential of,Na+,general_faq
The average whey/casein ratio in breast milk is:,60:40:00,general_faq
Which of the following statement is false about hydrocele?,Arises due to patent processus vaginalis,general_faq
"Olympian f""-ow and I hi:odes",CMV inclusion disease,general_faq
Following represents fetal hypoxia except:,Excessive foetal movements,general_faq
"A 4-year-old male child presents with muscles weakness. His mother tells that her child has difficulty in climbing stairs and getting up from the floor. On muscle biopsy, small muscle fibrils and absent of dystrophic was found. What is the diagnosis out of given option?",Beck's muscle dystrophy,general_faq
Presbyopia occurs as a result of the following except,Loss of elasticity of the capsule,general_faq
Painless effusion in congenital syphilis is called,Clutton joints,symptoms_diagnosis
Neurotoxin is which snake -,Viper,general_faq
The teiary structure of protein is determined by,X-ray Crystallography,general_faq
Which of the following malignancy shows least lymph node involvement:,Supraglottic,general_faq
"If you are suspecting a child to have Congenital Hypertrophic Pyloric Stenosis clinically. Next, the best investigation is?",Barium meal,general_faq
Dominant cell type in grey hepatization stage of community acquired pneumonia is,Eosinophils,general_faq
Investigation of choice for studying Renal Coical mass,99 Tc DTPA,general_faq
"Using a lens of +14D, magnification of fundus of an emmetropic eye in indirect ophthalmoscopy is: March 2013 (e)",5 times,general_faq
Biological Methods of Treatments in Psychiatry include all except,Electroconvulsive therapy,nutrition_advice
Which of the following vessel does not cross the midline of the body:,Left gonadal vein,general_faq
"Chalky white optic disc on fundus examination is seen in all, except:",Syphilis,general_faq
Which of the following statements is true about the epidemiological determinants of measles -,Measles virus survives outside the human body for 5 days,general_faq
Urine osmolality in Diabetes insipidus is,<150 mmol/L,general_faq
Factors ouring fat embolism in a patient with major trauma :,Mobility of,general_faq
The greatest volume of gastric secretion occurs during:,Cephalic phase,nutrition_advice
Humectant in tooth paste serves to,as an abrasive,general_faq
"For the following statements, select whether it is applicable to any or all of the below medications.Inhibition of angiotensin converting enzyme I (ACE I)",hydralazine,medicine_info
Which of the following tumor is most commonly associated with superior vena cava syndrome:,Lymphoma,general_faq
A 24-year-old accountant complains of a white discharge from his breasts. He is most likely experiencing which one of the following?,A tumor of the posterior pituitary that could be surgically removed,general_faq
Which of the following is not an adverse effect of chronic amiodarone therapy ?,Pulmonary Fibrosis,treatment_procedure
White infracts are seen in which of the following,Kidney,general_faq
Antimalarial month is –,April,general_faq
Maximum dose of plain lignocaine (in mg) –,300,medicine_info
Superficial inguinal lymph nodes drain from all of the following except:,Urethra,general_faq
"A 3 year old male presents with a skin rash and epistaxis. He has had several, severe sinopulmonary infections. A careful history reveals that his maternal uncle died of bleeding complications following an emergency cholecystectomy. What additional findings are likely in this case?",A CD4/CD8 ratio of < 1.5:1,general_faq
Which of the following is not an example of Phase II drug metabolic reaction?,Acetylation,medicine_info
"A 3-year-old girl has normal developmental milestones except the delay in speech. She has difficulty in concentration, communication and relating to others and does not make friends but plays with herself. Likely diagnosis is",ADHD,general_faq
Bacteroides are often implicated in the causation of: September 2004,UTI,general_faq
"Regarding ranula, all are true except -",Retention cyst,general_faq
Keratic precipitates are most commonly seen in -,Corneal ulcers,general_faq
What is a percentage of endothelial cell loss during Descemet's stripping automated endothelial keratoplasty –,0 – 5%,general_faq
Which of the following antitubercular drug is not hepatotoxic :,Isoniazid,medicine_info
Anaesthetic agent not metabolized by body is?,N20,general_faq
A 60 yr old smoker came with a history of painless gross hematuria for one day. Most logical investigation would be,Urine routine,symptoms_diagnosis
In rectus sheath which branch of aoa make anastmosis with superior epigastric aery,Subclan aery,nutrition_advice
A 30 year old male patient was on Isoniazid therapy for Tuberculosis.He developed rashes on exposed pas of body.He has disoriented memory. Family members gives history of diarrhea also.What is the diagnosis?,Isoniazid neuropathy,treatment_procedure
Enterotoxigenic E. Coli causes:,Haemolytic uremic syndrome,general_faq
"A child aged 3 years presented with severe sensorineural deafness, he was prescribed hearing aids but showed no improvement. What is the next line of management?",Fenestration surgery,general_faq
Commonest site for extranodal lymphoma is,Liver,general_faq
A child scratches his hand with a pen. A red wheel appears which persists for 30 minutes. What would be the diagnosis?,Contact urticaria,general_faq
Melatonin is secreted by parenchymal cells of pineal gland. Fever causes:,Thermoregulatory centre to shift to new level,general_faq
Features of carcinoma penis include all except: March 2007,Metastasize to inguinal lymph nodes,nutrition_advice
"In a seriously ill patient, addition of amino acids in diet results in a positive nitrogen balance. The mechanism for this is",Increased Growth hormones secretion,nutrition_advice
The Earliest sign of male pubey is,Pubic hair,general_faq
Gastric irritation is least with following NSA1D: (PGI June 2008),Diclofenac,general_faq
Local anesthetics depress transmission first in,Group A alpha-fibers,general_faq
Which of the following is the organism causing chronic burrowing ulcer?,Peptostreptococcus,general_faq
Blood stained sputum may be the only symptom in?,Bronchiectasis,symptoms_diagnosis
Resistance to ciprofloxacin is due to:,Transduction,general_faq
Inheritance of ABO blood group is:,X-linked inheritance,general_faq
The earliest sign of iron deficiency anaemia -,Increase in iron binding capacity,general_faq
Auerbachs plexus is present in the -,Colon,general_faq
Not a component of Brain stem,Mid brain,general_faq
Bloom Richardson staging is for?,Prostate cancer,general_faq
"A body is brought for autopsy. On postmoem, there is dark brown postmoem staining and garlic odor in stomach. The poisoning is most likely due to",Aniline dye,general_faq
Average weight of thyroid gland where diet is rich in Iodine is -,10-12gm,nutrition_advice
Fear is,A primary emotion acquires soon after birth,general_faq
"Hemagglutinin, (Anti-A and Anti-B) are which type of antibodies?",IgG,general_faq
Calculate degree of freedom Material Location X Y Glass 8 23 Cupboard 56 3 Metal 1 14,1,general_faq
Most common site for diveiculosis is?,Sigmoid colon,general_faq
"A patient comes to hospital with a history of sore throat, diarrhoea and sexual contact 2 weeks before. The best investigation to rule out HIV is-(",P24 antigen assay,general_faq
Which one of the following is not a feature of renal aery stenosis?,Hypeension responds well to drugs,nutrition_advice
Frozen section is/are used for all except,Enzyme,general_faq
Carbonic anhydrase inhibitor should not be given in :  a) Sulfonamide hypersensitivity b) Glaucoma c) High altitude sickness d) Metabolic acidosis e) COPD,ace,general_faq
"A 4-month-old infant has undergone surgical treatment for meningomyeloencephalocele. At bih, an operation was carried out in the posterior cranial fossa to paially replace brain cerebellar contents to an intracranial position. In investigations for progressive hydrocephalus, it is noted that there is herniation of the cerebellar tonsils through the foramen magnum, and a diagnosis of Arnold-Chiari syndrome is established. This syndrome may also include which of the following?",Fusion of the frontal lobes,nutrition_advice
The minimum period required for post-exposure chemoprophylaxis for HIV is:,4 weeks,general_faq
Deficiency of zinc causes all of the following except: March 2010,Growth retardation,general_faq
Optic nerve injury following sinus surgery is due to removal of which ethmoidal cells?,Haller,treatment_procedure
Drug of choice for primary prophylaxis for acute rheumatic fever?,Erythromycin-1.2 million units,medicine_info
MRI is unsuitable for:,Cardiac pacemakers,general_faq
In which of the following patients would enalapril be the best first line agent for high blood pressure control ?,A 62 year old man with renal artery stenosis,general_faq
True about social phobia is:,Fear of closed spaces,general_faq
A person's X-ray chest showing homogenous opacity on right side with shifting of mediastinum on opposite side. Most probable diagnosis is/are:,Collapse,general_faq
"3-year-old child comes in ER with Hv'o vomiting, loose watery motion for 3 days, on examination, the child was drowsy, sunken eye. Hypothermia and skin pinch take time to revert back, diagnosis",No dehydration,general_faq
The posterolateral lesion in the head of humerus in cases of recurrent anterior shoulder dislocation is:,Banka's lesion,general_faq
"Down Syndrome, All are seen except?",t(14 ; 21),general_faq
Which muscle is responsible for unlocking of knee?,Popliteus,general_faq
A 70-year-old man with a history of diabetes presents with severe pain in his right ear. The patient was diagnosed with external otitis. Further tests suggested that the patient suffered bone and nerve damage. Clinical laboratory analysis showed that the isolated microorganism produced a distinct blue pigment as well as an ADP-ribosylation toxin. What is the most likely causative agent?,Staphylococcus epidermidis,symptoms_diagnosis
True about VSD are all except –,Left to right shunt,general_faq
"Symptoms of opioid withdrawal are all, EXCEPT:",Polyuria,symptoms_diagnosis
Routine second look endoscopy in the setting of non variceal upper GI bleeding is recommended in patients with:,Rockall score 2,general_faq
"A 19-year-old man is brought to the emergency department with a stab wound at the base of the neck (zone I) (Figure below). The most important concern for patients with such injuries is which of the following?For the purpose of evaluating penetrating injuries, the neck is divided into three zones. Zone I is below the clavicles and is also known and the thoracic outlet. Zone II is located between the clavicles and hyoid bone, and Zone III is above the hyoid.",Upper extremity ischemia,general_faq
Nikolsky sign is positive in all except –,Pemphigus,general_faq
Which body pa is represented superiorly and medially within the postcentral gyrus?,Upper limb,general_faq
The maxillary nerve arises from the trigeminal ganglion in the middle cranial fossa. It passes forward in the lateral wall of the cavernous sinus and leaves the skull through which of the following foramen to enter the pterygopalatine fossa?,Foramen ovale,general_faq
Extrapyramidal symptoms are seen with the use of:,Metoclopramide,symptoms_diagnosis
Which of the following is NOT associated with elevation Right hemi-diaphragm:,Amebic abscess,general_faq
Cavallo's sign is seen in -,Tricuspid Regurgitation,general_faq
Colonic polyp with most malignant potential is -,Juvenile polyp,general_faq
"In post-hepatic jaundice, the concentation of conjugatedbilirubin in the blood is higher than that ofunconjugated bilirubin because :",There is an increased rate of destruction of red blood cells.,general_faq
Clavulanic acid is given in combination with amoxicillin in order to,Reduce the risk of allergic reactions,general_faq
Last pa of the hea to be repolarised is:,Apical epicardium,general_faq
Hepatitis A virus shedding in faeces is,One week before the symptoms appear,general_faq
The most impoant prognostic factor of Wilms tumor-,Histopathology,general_faq
Amount of radiation used in mammography -,0.5 mSv,general_faq
Which is the most important feature to differentiate carcinoma in situ from invasive carcinoma?,Metastasis,nutrition_advice
"37-year-old female patient has a fracture of clavicle. The junction of inner and middle third of the bone exhibits overriding of medial and lateral fragments. The arm is rotated medially, but it is not rotated laterally. Which of the following conditions is most likely to occur secondary to the fractured clavicle?",A fatal haemorrhage from the brachiocephalic vein,general_faq
Mechanism of hypoxemia in asthma is,Hypoventilation,general_faq
Which of the following Biomedical wastes cannot be disposed off in yellow bags?,Reactive chemical wastes,general_faq
In which type of nerve fibers is conduction blocked maximally by pressure,A alpha,general_faq
A girl falls in love with a film star & believes that he also loves her. It is best exemplified by?,Persecutory delusion,general_faq
Primary hemostasis is disturbed in,Platelet disorder,general_faq
Insulin inhibits ketogenesis by all except,Inhibiting lipolysis,general_faq
"For termination of pregnancy, consent is needed from",Only woman,general_faq
All are causes of primary amenorrhea EXCEPT,MRKH syndrome,general_faq
Abnormalities in synthetic function of liver results in: (PGI Dec 2006),|PT,general_faq
Which of the following includes the contents of the orbit,Orbital and bulbar fascia,general_faq
To notify a slide as AFB negative minimum how many fields should be checked? ?,20,general_faq
One of the following molecules acts as a mobile electron carrier in the respiratory chain,Ubiquinone,general_faq
Reaction due to lysis of bacterial cell wall &necrotic cell product ?,Ahus reaction,general_faq
A Gridiron incision becomes a Rutherford Morison's incision is extended by -,Splitting the muscles laterally,general_faq
"""White plague"" is",Pneumonic Plague,general_faq
Thornwaldt's abscess treatment does not include,Antibiotics,nutrition_advice
Which morphological type of cataract is most visually handicapping ?,Cortical,general_faq
Ring scotoma is seen in :,Papilledema,general_faq
For early diagnosis of ca stomach which method is used -,Endoscopy,general_faq
Which of the following is not a CT feature ofAdrenal adenoma –,Low attenuation,nutrition_advice
"In reproductive and child health programme,districts are divided on the basis of –",Crude birth rate & infant mortality rate,general_faq
Osmolality of plasma is mainly contributed by,Glucose,general_faq
Battle's sign is:TN 11,Hemorrhage around eyes,general_faq
"In Peripaum cardiomyopathy, cardiac failure occurs at:-",Within 7 days after delivery.,general_faq
Which of the following approach of brachial block is most suitable for catheter placement:-,Supraclavicular,general_faq
Inherited hyperammonemia is a result of deficiency of which enzyme of Krebs-Henseleit urea cycle?,Malate dehydrogenase,general_faq
What is the generation time of Mycobacterium leprae?,2-5 days,general_faq
"A 6-month-old male baby comes with vomiting, lethargy and severe jaundice when weaning was staed with fruit juice. Which of the following enzymes is defective?",Fructokinase,general_faq
Which of the following configuration is used in designing an RPD with Kennedy — Class II edentulous arch?,Bilateral,general_faq
All of the following are described surgical procedures for CTE V except -,Dwyer's osteotomy,treatment_procedure
Noninfective cause of genital ulcer is -,Behcets disease,general_faq
Malonate competetively inhibits-,Fumarate dehydrogenase,general_faq
Sampling error is classified as -,Alpha error,general_faq
Serotonin is sexreted by,Leukocytes,general_faq
All are associated with chronic osteomyelitis except-,Amyloidosis,general_faq
Ator fracture is -,Fracture neck of talus,general_faq
The sensory supply of the palate is through all of the following except,Facial nerve,general_faq
HSV 2 causes:,Genital herpes,general_faq
Which of the following drug will cause hemolysis in G6PD patients:,Cephalosporins,medicine_info
Not a pyrethram derivative?,Cypermethrin,general_faq
A 62 year old man has a 25 year history of alcoholism and liver disease. He visits his physician complaining of pain and swelling of his legs. A decrease in which of the following is the most likely cause of the peripheral edema?,Capillary hydrostatic pressure,symptoms_diagnosis
Superior rib notching is not associated with which of the enlisted conditions?,Hyperparathyroidism,general_faq
Shenton line is seen in X-ray of,Knee,general_faq
All the following are features of pseudotumor cerebri except -,Normal-sized ventricles on CT scan,nutrition_advice
Not affected in multiple myeloma -,IgG,general_faq
A knownHIV positive patient is admitted in anisolation ward after an abdominal surgery followingan accident. The resident docter who changed hisdressing the next day found it to be soaked in blood hich of the following would be the right method ofchoice of descarding the dressing -,Pour 1% hypochloric on the dressing materialand send it for incineration in a appropriate bag,treatment_procedure
The matrix band for restoring a Class-I with lingual extension is,Tofflemire,general_faq
The cells which lie outside blood testis barrier:,Sertoli cells,general_faq
Most common site of mandibular fracture is,Angle of mandible,general_faq
True about central nystagmus is,Changing direction,general_faq
True about Rabies  a) Bats Transmit disease in some parts of the world  b) Brainstem encephalitis is characteristic c)  Negri bodies commonly found in thalamus and anterior pituitary  d) Paraesthesia is not seen  e) Recovery is the usual course,ab,general_faq
Pyogenic granuloma is associated with,Gastric adenocarcinoma,general_faq
The measure of strength of association between risk factor and outcome is:,Odds ratio,general_faq
Chromic catgut suture has added advantage that is:,Delayed resorption.,general_faq
Profunda femoris aery at its origin lies on which side of the femoral aery ?,Medial,general_faq
Cause of persistance of a sinus or fistulae includes?,Foreign body,general_faq
Prostate is supplied by:,Sympathetic + Parasympathetic,general_faq
Which of the following glomerular disease is associated with Crescent formation?,Minimal change disease,general_faq
All of the followings are responsible for Right shifting of O2 saturation curve; except:,Hypoxia,general_faq
Bakers cyst is a type of:,Pulsion diveiculum of knee joint,general_faq
Sensitivity of a screening test indicates: September 2006,False positive,general_faq
Commonest cause of raised serum calcium is -,Ecotopic secretion,general_faq
Schaumann bodies are seen in -,Sarcoidosis,general_faq
Laparoscopic cholecystectomy done in a patient with cholelithiasis.Pathology report shows adenocarcinoma with invasion of muscle layer. CT was normal. Further tit is:,Wait and regular follow up,general_faq
Prelabour pains are mediated through,Tit-T12,symptoms_diagnosis
Prokinetic drug with extrapyramidal side effect is?,Cisapride,medicine_info
"In which of the following conditions, MTP can be indicated -a) Pregnancy caused by rapeb) Husband is willing but mother is not agreeingc) If maternal health is in dangerd) Pregnancy after contraceptive failuree) Pregnant women have received cytotoxic drugs",bce,medicine_info
Consistent change in particular direction over a period of time,Sporadic,general_faq
Incised wound which is not a feature ?,Length is the greatest dimention,nutrition_advice
Point Prevalence is defined as-,Number of new cases at a given point of time,general_faq
